Entity,Type of Protein,Average (%)
Malaysia,Fish and seafood,39.31942088067023
Malaysia,Poultry,27.63378866155565
Malaysia,Pork,8.282433962030474
Malaysia,Beef,4.762828727161025
Malaysia,Lamb and Goat,0.6724762745630399
Malaysia,Other Meat,0.3551783223714769
Malaysia,Eggs,10.028825321669325
Malaysia,Dairy,8.945047849978778
World,Fish and seafood,15.970525996316432
World,Poultry,13.361223898997507
World,Pork,14.934475433914358
World,Beef,14.971142776213012
World,Lamb and Goat,2.6858470925559197
World,Other Meat,1.4745229204062829
World,Eggs,8.289107665204106
World,Dairy,28.313154216392377
Australia,Fish and seafood,6.723236226433288
Australia,Poultry,15.00424953546205
Australia,Pork,6.952155836512511
Australia,Beef,25.372553052446488
Australia,Lamb and Goat,10.910739371833333
Australia,Other Meat,1.6991808002673883
Australia,Eggs,3.944986006571441
Australia,Dairy,29.3928991704735
