Entity,Code,Year,Fisheries_production_kg,Aquaculture_production_per_capita_kg,Fisheries_production_per_capita_kg,consumption_per_capita_kg
Australia,AUS,2000,206380000.0,1.6768872481879369,10.786896184304036,21.873756
Australia,AUS,2001,205227000.0,1.8529403700004292,10.597591988241732,21.473198
Australia,AUS,2002,207516000.0,1.98557443990431,10.590059675871178,23.069857
Australia,AUS,2003,224550230.0,2.014556407972976,11.32979118996743,25.09951
Australia,AUS,2004,243559050.0,2.2489010649144894,12.149595344466016,28.005777
Australia,AUS,2005,250986280.0,2.210058000964794,12.36721297258517,25.99239
Australia,AUS,2006,212900000.0,2.5084051846076103,10.33968713340309,26.241755
Australia,AUS,2007,190499310.0,2.764847435246148,9.091073559459296,26.773174
Australia,AUS,2008,183642700.0,2.845221670243622,8.593242256474376,27.04622
Australia,AUS,2009,179100480.0,3.2902774611447247,8.222024739092578,25.932587
Australia,AUS,2010,181106400.0,3.4179511916559897,8.179469372176326,27.890005
Australia,AUS,2011,177034690.0,3.410286791978106,7.875286401849698,27.309996
Australia,AUS,2012,167631310.0,3.580889900334968,7.335311980681102,26.889996
Australia,AUS,2013,160248530.0,3.445538658074697,6.89648222815098,26.939991
Australia,AUS,2014,150778950.0,3.10131944520671,6.390130210298963,26.280003
Australia,AUS,2015,151861120.0,3.4689705586245663,6.341286649514502,25.46
Australia,AUS,2016,172901480.0,3.76477792134562,7.106525160480118,26.499992
Australia,AUS,2017,164975920.0,3.4505413519946835,6.670802898575571,26.319994
Australia,AUS,2018,171467120.0,3.826944589306401,6.826001902888968,26.500002
Australia,AUS,2019,166483640.0,3.5663348103345665,6.533198936345634,24.820002
Australia,AUS,2020,176602560.0,3.9883366810019054,6.8600070378146,24.519999
Malaysia,MYS,2000,1293397000.0,7.3101418389044115,56.3134493800608,64.09217
Malaysia,MYS,2001,1238860000.0,7.524312761072243,52.65799033550798,60.67244
Malaysia,MYS,2002,1279653000.0,7.633654612871979,53.09217363077051,63.10187
Malaysia,MYS,2003,1291121000.0,7.786186520658921,52.315304572958304,58.959045
Malaysia,MYS,2004,1339771000.0,8.006486656588049,53.046012888979355,53.807354
Malaysia,MYS,2005,1218264000.0,8.353978563228242,47.15360573567043,53.802326
Malaysia,MYS,2006,1290377000.0,8.642509364671069,48.84478731963086,54.184563
Malaysia,MYS,2007,1389534000.0,9.945335987516883,51.467302635594784,56.097137
Malaysia,MYS,2008,1402330000.0,12.861019423465764,50.86424567757466,57.200928
Malaysia,MYS,2009,1401503000.0,16.800213192778752,49.83160757168589,58.90448
Malaysia,MYS,2010,1437456000.0,20.283625940478096,50.16287993088722,59.880005
Malaysia,MYS,2011,1382880900.0,18.060897880473558,47.420593070448824,55.219982
Malaysia,MYS,2012,1481361200.0,21.403075599483326,49.93997370784013,59.599987
Malaysia,MYS,2013,1492620000.0,17.587892518622407,49.466649879736934,58.800007
Malaysia,MYS,2014,1468726000.0,16.973293346103237,47.84726467011333,56.220013
Malaysia,MYS,2015,1496054000.0,16.231822472762286,47.90009834534187,56.59999
Malaysia,MYS,2016,1584371000.0,12.830796672657497,49.83913969099545,56.73001
Malaysia,MYS,2017,1474370000.0,13.213013359462934,45.56763237768548,56.259995
Malaysia,MYS,2018,1463031400.0,11.91024042384419,44.454227743327586,54.91
Malaysia,MYS,2019,1465095100.0,12.32876138421968,43.81188213556532,53.969994
Malaysia,MYS,2020,1391044800.0,11.803548320419079,41.04641680895485,53.33
World,OWID_WRL,2000,94439450000.0,6.969334699766333,15.30200816931143,15.669952
World,OWID_WRL,2001,91685230000.0,7.283411454768828,14.658059327671712,15.887884
World,OWID_WRL,2002,92053370000.0,7.679758138979912,14.524658729013995,15.930642
World,OWID_WRL,2003,89287900000.0,8.026555639280312,13.906989182440679,16.150373
World,OWID_WRL,2004,93964640000.0,8.581851755375604,14.448590133863819,16.506657
World,OWID_WRL,2005,93592376000.0,8.980702614069614,14.208714164439256,16.706656
World,OWID_WRL,2006,91172210000.0,9.435793561904623,13.666021992515512,17.149479
World,OWID_WRL,2007,91527750000.0,9.814697308303398,13.545000441188957,17.589664
World,OWID_WRL,2008,90607910000.0,10.25932562290262,13.238143079027806,17.872599
World,OWID_WRL,2009,90001590000.0,10.652037745210883,12.982059980278358,18.105686
World,OWID_WRL,2010,88085540000.0,11.10785039145208,12.544702411975276,18.267632
World,OWID_WRL,2011,92559410000.0,11.479625197845444,13.016509899747419,18.364002
World,OWID_WRL,2012,89684200000.0,12.246791229707743,12.454058834468851,18.681036
World,OWID_WRL,2013,90873390000.0,13.023218306098824,12.462419383387463,19.026138
World,OWID_WRL,2014,91426520000.0,13.497676765366181,12.385704842925525,19.50093
World,OWID_WRL,2015,92557880000.0,13.922470613255081,12.389797243531019,19.718224
World,OWID_WRL,2016,90549720000.0,14.317713638842308,11.979766639457143,19.876177
World,OWID_WRL,2017,94223840000.0,14.680353610284401,12.323901068532235,20.104397
World,OWID_WRL,2018,96989160000.0,14.99687177693389,12.547267858735864,20.272812
World,OWID_WRL,2019,93028320000.0,15.337884400028337,11.909463836095103,20.402327
World,OWID_WRL,2020,90592250000.0,15.558725754101197,11.486273012758394,20.20232
