Entity,Code,Year,Aquaculture production (metric tons),Capture fisheries production (metric tons),Total_Production,Aquaculture_Percentage,Fisheries_Percentage
China,CHN,2000,29749708,14823866,44573574.0,66,34
China,CHN,2001,31102502,14403875,45506377.0,68,32
China,CHN,2002,33160272,14426596,47586868.0,69,31
China,CHN,2003,34891716,14598934,49490650.0,70,30
China,CHN,2004,37172412,14786243,51958655.0,71,29
China,CHN,2005,38943268,14850730,53793998.0,72,28
China,CHN,2006,40911092,14995706,55906798.0,73,27
China,CHN,2007,42530160,14987636,57517796.0,73,27
China,CHN,2008,44072890,15157263,59230153.0,74,26
China,CHN,2009,46062876,15062980,61125856.0,75,25
China,CHN,2010,47789756,15054057,62843813.0,76,24
China,CHN,2011,49147610,15263615,64411225.0,76,24
China,CHN,2012,52082584,15446318,67528902.0,77,23
China,CHN,2013,55029056,15633567,70662623.0,77,23
China,CHN,2014,57320504,16363366,73683870.0,77,23
China,CHN,2015,59368940,16647935,76016875.0,78,22
China,CHN,2016,62318376,16019262,78337638.0,79,21
China,CHN,2017,64358480,15576685,79935165.0,80,20
China,CHN,2018,66135060,14831109,80966169.0,81,19
China,CHN,2019,68423860,14169893,82593753.0,82,18
China,CHN,2020,70483540,13445983,83929523.0,83,17
India,IND,2000,1942531,3726427,5668958.0,34,66
India,IND,2001,2120634,3817092,5937726.0,35,65
India,IND,2002,2189445,3783853,5973298.0,36,64
India,IND,2003,2316947,3757899,6074846.0,38,62
India,IND,2004,2804362,3426509,6230871.0,45,55
India,IND,2005,2973126,3725362,6698488.0,44,56
India,IND,2006,3182817,3877337,7060154.0,45,55
India,IND,2007,3114762,3890293,7005055.0,44,56
India,IND,2008,3855763,4128727,7984490.0,48,52
India,IND,2009,3798842,4094756,7893598.0,48,52
India,IND,2010,3790021,4715816,8505837.0,44,56
India,IND,2011,3677584,4336132,8013716.0,45,55
India,IND,2012,4213980,4895142,9109122.5,46,54
India,IND,2013,4492502,4665438,9157940.5,49,51
India,IND,2014,4884002,4999493,9883495.5,49,51
India,IND,2015,5344002,4862038,10206040.5,52,48
India,IND,2016,5701902,5196946,10898848.0,52,48
India,IND,2017,6212869,5550953,11763822.0,52,48
India,IND,2018,7247902,5336183,12584085.0,57,43
India,IND,2019,7933000,5477100,13410100.0,59,41
India,IND,2020,8641286,4658197,13299483.0,64,36
Indonesia,IDN,2000,993727,4158534,5152261.5,19,81
Indonesia,IDN,2001,1076749,4335940,5412689.0,19,81
Indonesia,IDN,2002,1137151,4404801,5541952.0,20,80
Indonesia,IDN,2003,1228559,4698733,5927292.0,20,80
Indonesia,IDN,2004,1468612,4739638,6208250.0,23,77
Indonesia,IDN,2005,2124093,4703117,6827210.0,31,69
Indonesia,IDN,2006,2479247,4798414,7277661.0,34,66
Indonesia,IDN,2007,3137376,5042176,8179552.0,38,62
Indonesia,IDN,2008,3854944,5002765,8857709.0,43,57
Indonesia,IDN,2009,4712846,5115756,9828602.5,47,53
Indonesia,IDN,2010,6277924,5390461,11668385.5,53,47
Indonesia,IDN,2011,7937071,5759674,13696745.5,57,43
Indonesia,IDN,2012,9599765,5864409,15464174.5,62,38
Indonesia,IDN,2013,13301408,6142410,19443818.0,68,32
Indonesia,IDN,2014,14375287,6528638,20903925.5,68,32
Indonesia,IDN,2015,15649311,6735639,22384950.0,69,31
Indonesia,IDN,2016,16002319,6581115,22583434.0,70,30
Indonesia,IDN,2017,16118238,6946132,23064370.0,69,31
Indonesia,IDN,2018,15771806,7155854,22927660.5,68,32
Indonesia,IDN,2019,15425627,7192714,22618341.0,68,32
Indonesia,IDN,2020,14845014,6941042,21786056.5,68,32
Malaysia,MYS,2000,167898,1293397,1461295.0,11,89
Malaysia,MYS,2001,177021,1238860,1415881.0,12,88
Malaysia,MYS,2002,183990,1279653,1463643.0,12,88
Malaysia,MYS,2003,192160,1291121,1483281.0,12,88
Malaysia,MYS,2004,202218,1339771,1541989.0,13,87
Malaysia,MYS,2005,215834,1218264,1434098.0,15,85
Malaysia,MYS,2006,228317,1290377,1518694.0,15,85
Malaysia,MYS,2007,268508,1389534,1658042.0,16,84
Malaysia,MYS,2008,354579,1402330,1756909.0,20,80
Malaysia,MYS,2009,472502,1401503,1874005.3,25,75
Malaysia,MYS,2010,581242,1437456,2018698.94,28,72
Malaysia,MYS,2011,526692,1382880,1909573.4,27,73
Malaysia,MYS,2012,634875,1481361,2116237.1,30,70
Malaysia,MYS,2013,530701,1492620,2023321.8,26,74
Malaysia,MYS,2014,521014,1468726,1989740.47,26,74
Malaysia,MYS,2015,506965,1496054,2003019.2,25,75
Malaysia,MYS,2016,407887,1584371,1992258.1,20,80
Malaysia,MYS,2017,427515,1474370,1901885.53,22,78
Malaysia,MYS,2018,391977,1463031,1855008.8699999999,21,79
Malaysia,MYS,2019,412281,1465095,1877376.1300000001,21,79
Malaysia,MYS,2020,400017,1391044,1791061.8,22,78
World,OWID_WRL,2000,43012664,94439450,137452114.0,31,69
World,OWID_WRL,2001,45557276,91685230,137242506.0,33,67
World,OWID_WRL,2002,48672236,92053370,140725606.0,34,66
World,OWID_WRL,2003,51533390,89287900,140821290.0,36,64
World,OWID_WRL,2004,55811024,93964640,149775664.0,37,63
World,OWID_WRL,2005,59155620,93592376,152747996.0,38,62
World,OWID_WRL,2006,62950444,91172210,154122654.0,40,60
